deepseek-ai/deepseek-harness | 233987 | 28113 | MIT | TypeScript | 2026-09-22 | 2026-08-13 | DeepSeek Harness: Everything is a Plugin.
anywhere-labs/dsh-desktop | 28652 | 1362 | MIT | TypeScript | 2026-09-23 | 2026-08-13 | 为 DeepSeek Harness (DSH) 插件生态打造的现代化桌面端解决方案。万物皆「插件」，桌面本身也是「插件」。
awesome-dsh-plugin/awesome-dsh-plugin | 16705 | 3229 | CC0-1.0 | Python | 2026-09-23 | 2026-08-13 | A curated list of plugins for DeepSeek Harness (dsh) · DeepSeek Harness 插件精选列表
dsh-tauri/deepseek-harness-desktop | 2535 | 171 | MIT | TypeScript | 2026-09-23 | 2026-08-14 | DeepSeek Harness Tauri 桌面版 | Only 5mb installer, zero environment setup, preset plugins, Windows / macOS / Lin
dsh-market/dsh-market | 4425 | 223 | MIT | TypeScript | 2026-09-23 | 2026-08-14 | The plugin market inside DeepSeek Harness — browse, search, one-click install · DSH 可视化插件市场
zhu1090093659/dsh-web | 7950 | 545 | Apache-2.0 | TypeScript | 2026-09-23 | 2026-08-12 | DeepSeek Harness (DSH) Web 插件聚合生态 · 万物皆插件，通过创意工坊分发｜｜DeepSeek Harness (DSH) Web Plugin Aggregation Ecosystem · 
qiz029/dscode | 349 | 1 | MIT | JavaScript | 2026-09-23 | 2026-09-11 | A DeepSeek coding agent harness: persistent shell, Ultra subagents, auto approval, Chrome MCP and session tele
yindf/taskfold | 7 | 0 | MIT | JavaScript | 2026-09-23 | 2026-09-02 | Context folding for DeepSeek Harness (DSH): wrap work in named tasks, fold finished spans into short summaries
kolawong/fast-compaction-dsh | 3 | 0 | NOASSERTION | TypeScript | 2026-09-20 | 2026-09-20 | Verdict-based context compaction for DeepSeek Harness — replaces lossy LLM summaries with fast keep/truncate/d
PlxloYzb/dsh-context-management | 1 | 0 | MIT | TypeScript | 2026-09-08 | 2026-09-08 | Windowed, reversible context management for DeepSeek Harness (DSH): compression, historical retrieval, and nat
CooperZhuang/dsh-context-window | 0 | 0 | MIT | TypeScript | 2026-09-09 | 2026-09-09 | DSH 插件：复刻 Codex 最新上下文窗口管理 — token 预算提示 / 模型可调用的 new_context / 交接式换窗替代摘要压缩 | DSH plugin reimplementing Codex's 
